idNumber,gdpPerCapitaUsd,healthcareAccessIndex,urbanizationRatePercent,sanitationCoveragePercent,populationDensityPerKm2,accessToCleanWaterPercent
605,69790,83.38,48.02,25.39,417,66.99
606,41539,77.62,33.01,84.12,308,75.75
607,29975,73.33,67.73,34.32,271,83.15
608,72631,89.39,63.99,98.96,408,62.98
609,94149,92.87,77.4,89.48,600,96.73
610,17861,44.53,26.31,93.06,561,47.13
611,14366,28.28,61.91,81.56,484,34.88
612,19688,51.18,71.98,76.86,198,53.29
613,57231,9.31,15.01,39.55,900,76.33
614,59429,93.82,12.95,66.91,286,81.6
615,4890,98.39,54.74,75.71,771,81.69
616,75381,65.27,57.03,43.05,835,37.75
617,6512,74.62,41.42,51.86,630,91.96
618,71919,32.37,12.89,95.76,519,49.66
619,54936,86.63,42.15,52.64,105,44.69
620,28006,90.03,61.37,45.23,41,73.01
621,85998,7.69,66.15,28.58,277,44.83
622,21048,13.14,49.42,47.31,757,65.56
623,5151,26.09,52,68.97,402,58.49
624,68992,70.37,63.81,31.82,541,46.24
625,29671,18.34,45.94,68.42,408,50.44
626,49525,22.01,31.08,79.3,726,59.92
627,94028,38.19,27.84,81.46,247,54.23
628,91512,61.16,70.22,98.78,913,56.71
629,66695,97.63,49,54.76,542,81.48
630,8305,78.39,59.93,22.59,822,41.79
631,66796,55.83,47.69,88.38,738,73.93
632,96809,4.94,75.51,26.68,642,77.47
633,34226,51.68,49.75,88.93,817,86.15
634,94103,20.41,89.04,98.62,359,89.31
635,43218,30.01,29.41,92.55,360,41.11
636,39108,25.09,21.08,97.12,783,39.68
637,4908,34.74,39.89,21.87,776,73.03
638,67891,6.23,83.49,20.91,20,82.98
639,93821,57.68,78.19,36.82,73,49.06
640,82774,4.58,29.79,83.9,947,66.81
641,71657,66.06,57.98,27.15,131,84.06
642,62553,73.08,57.12,79.72,196,83.73
643,53846,48.61,33.47,21,401,75.77
644,93050,78.13,28.83,78.49,209,35.52
645,69198,96.74,41.2,40.01,64,33.55
646,86300,34.01,73.09,55.24,391,57.19
647,74431,61.89,25.34,98.12,304,31.87
648,53617,32.37,45.66,64.14,956,93.29
649,59617,44.34,48.54,25.97,64,31.41
650,66644,2.08,85.13,89.85,853,32.07
651,27756,7.43,34.28,45.89,652,41.57
652,8576,79.75,11.57,66.83,436,73.89
653,34408,13.99,65.5,76.94,950,67.91
654,12853,69.92,70.46,82.2,89,76.16
655,92790,70.89,66.24,54.6,649,92.55
656,70910,99.62,66.06,81.85,498,61.85
657,71032,69.56,48.66,29.35,740,33.07
658,87343,12.87,11.49,62.05,281,83.44
659,46965,62.65,68.39,21.75,270,86.84
660,8673,52.41,84.92,52.5,260,33.49
661,39503,91.74,22.59,49.18,305,47
662,5696,69.02,15.43,98.25,981,83.94
663,8417,51.85,31.22,51.83,844,56.33
664,48879,62.42,77.98,92.57,748,63.09
665,66774,44.35,18.49,54.82,182,87.62
666,80219,50.84,67.21,62.67,908,36.62
667,89907,72.23,15.04,48.06,262,77.41
668,11392,7.83,12.62,71.2,936,45.05
669,64041,61.53,81.3,79.13,545,34.39
670,36991,8.82,71.64,83.28,498,76.37
671,1157,85.51,57.89,75.52,806,38.5
672,89732,94.25,23.76,46.4,135,82.29
673,85146,78.02,32.31,46.45,777,44.19
674,75337,71.8,13.89,47.83,448,33.4
675,52864,94.37,61.63,23.03,298,36.95
676,23072,21.85,64.89,95.44,188,88.89
677,96371,22.88,36.14,35.66,89,55.97
678,24921,48.1,37.07,32.74,106,51.16
679,2664,0.75,60.32,64.19,723,64.38
680,54792,96.51,85.65,23.79,39,74.31
681,70667,3.23,41.58,87.03,582,32.6
682,63439,59.61,49.49,90.1,453,92.87
683,21398,35.4,65.86,51.82,684,97.09
684,32232,10.3,37.39,97.71,272,59.21
685,62937,2.46,79.51,45.94,399,58.88
686,93987,26.24,77.69,40.82,664,91.5
687,89045,10.67,63.94,99.18,873,60.05
688,45098,94.03,52.95,40.02,75,89.93
689,5696,24.48,88.68,55.54,745,31.98
690,34189,9.41,66.19,68.95,741,64.28
691,87207,76.97,61.46,45.8,862,96.67
692,63048,41.43,80.15,50.74,794,47.7
693,95519,84.37,54.4,77.66,540,48.63
694,28615,83.84,29.43,77.84,279,74.11
695,88190,99.24,21.02,84.29,58,94.83
696,53989,80.38,47.68,67.5,828,43.91
697,86449,21.42,51.25,38.68,43,94.52
698,9779,58.64,76.22,46.65,249,76.41
699,93778,52.63,21.16,92.06,605,99.51
700,39045,50.82,64.5,78.7,926,81.55
701,23425,29.68,34.33,27.04,697,76.75
702,23915,21.01,85.12,80.29,844,87.04
703,68132,71.69,47.63,46.45,323,42.26
704,6072,10.18,59.79,21.86,855,96.22
705,84612,4.96,62.01,58.7,158,41.59
706,78721,38.12,17.28,90.67,804,31.8
707,29942,74.39,78.18,55.55,464,78.85
708,87186,86.85,23.14,99.1,166,42.92
709,30924,54.01,41.79,34.25,914,83.11
710,91039,83.99,63.81,48.07,241,85.65
711,19972,2.53,14.42,21.33,216,46.57
712,70212,45.54,56.43,24.03,181,36.07
713,76459,13.34,42.79,48.35,421,65.06
714,39878,58.27,15.11,62.27,175,92.32
715,23117,92.1,68.11,38.97,792,89.31
716,58552,0.72,50.11,33.32,536,38.2
717,64629,66.82,34.28,53.65,935,97.53
718,20547,79.23,16.75,33.65,514,48.48
719,58046,74.45,53.8,70.47,553,54.46
720,52954,1.98,34.48,96.42,561,40.43
721,29770,17.39,85.73,84.52,85,56.45
722,49366,9.44,57.32,37.22,221,74.49
723,53753,8.55,32.81,96.09,612,65.43
724,43864,73.02,52.29,80.09,779,87.93
725,3717,42.48,53.16,32.4,754,74.89
726,76330,72.48,68.14,66.35,31,48.45
727,6316,36.08,82.18,97.32,163,69.02
728,41606,11.7,87.01,27.74,433,34.49
729,37949,71.85,67.43,41.68,657,70.66
730,65662,62.61,53.67,49.93,301,57.28
731,91347,11.3,27.99,29.25,419,36.89
732,98011,92.44,42.24,43.94,622,51.52
733,81863,30.89,49.1,75.39,602,92.87
734,91306,65.47,20.27,58.18,130,71.02
735,46675,3.2,30.51,53.69,520,93.23
736,8158,44.3,88.76,54.56,656,58.76
737,72088,96.44,70.54,80.77,521,98.52
738,66889,88.65,48.56,99.3,394,55.2
739,66283,22.13,28.08,67.09,740,82.98
740,47104,87.91,55.88,80.12,243,51.38
741,81465,29.31,28.55,49.8,227,37.42
742,23376,85.22,25.45,88.85,425,88.31
743,37805,72.92,17.5,53.63,471,83.38
744,76531,35.21,37.67,94.81,348,87.44
745,42869,91.08,53.34,79.48,786,50.98
746,93164,48.53,22.75,76.6,756,79.26
747,77999,31.77,26.03,43.21,580,45.39
748,68499,27.97,41.29,83.69,949,30.79
749,15154,93.91,49.16,28.42,586,90.65
750,75213,75.86,70.98,63.04,255,66.65
751,62937,34.99,55.33,78.83,158,98.86
752,55433,25.42,59.42,90.69,903,56.95
753,72509,21.16,65.7,65.57,413,96.98
754,65143,24.45,46.08,40.67,698,73.05
755,22250,11.1,37.45,87.91,512,65.85
756,69170,48.47,74.03,81.44,393,51.2
757,49309,4.11,76.27,32.29,42,87.77
758,70036,1.15,22.32,89.79,411,88.02
759,59776,61.81,86.27,96.79,434,59.19
760,16673,8.85,84.39,63.02,666,80.91
761,8170,84.52,79.67,23.07,897,61.31
762,75648,10.67,43.81,93.25,278,81.78
763,21780,54.27,77.37,29.82,762,99.59
764,49774,67.55,60.24,70.65,308,48.37
765,51969,22.92,26.43,52.07,122,74.38
766,23757,88.83,71.99,99.36,850,56.59
767,42145,48.14,42.49,93.37,513,68.39
768,67697,31.53,33.37,82.76,330,91.19
769,59764,90.11,80.26,35.94,928,54.33
770,7982,85.83,78.98,75.94,49,35.07
771,19759,70.96,79.15,65.77,683,85.93
772,61476,29.05,78.76,30.83,557,68.85
773,95043,39.02,54.34,83.57,955,61.46
774,89311,68.97,59.35,26.92,374,42.83
775,95568,18.53,85.91,58.53,215,36.5
776,78128,49.51,20.35,54.13,895,49.51
777,64243,73.77,74.5,84.5,990,80.32
778,35431,65.77,52.1,54.21,244,58.82
779,19722,71.99,88.27,75.54,116,69.92
780,85880,89.19,61.14,58.26,606,35.74
781,40520,96.83,23,66.56,101,38.63
782,59763,45.84,75.24,39.28,745,30.79
783,79511,6,63.81,36.2,423,77.13
784,99358,83.44,21.91,76.79,49,48.51
785,11899,11.8,10.72,29.79,405,97.68
786,41193,21.94,53.49,34.08,614,51.59
787,93901,65.32,29.32,95.28,906,55.45
788,70044,74.57,79.38,40.27,483,62.86
789,54253,69.46,30.07,45.86,793,52.34
790,2316,43.85,63.03,70.66,475,87.22
791,73575,91.81,37.61,55.23,874,91.33
792,47837,83.22,38.03,64.72,315,30.77
793,64762,66.37,24.55,31.57,755,75.83
794,81510,44.11,50.22,73.79,52,78.03
795,49840,46.38,56.34,32.53,864,97.3
796,51092,17.6,56.48,79.82,965,55.93
797,34488,77.97,78.53,61.89,142,43.67
798,89087,86.6,62.19,85.3,926,66.44
799,14447,82.73,69.22,33.81,586,61.33
800,63519,54.71,35.88,50.2,360,85.42
801,10753,83.79,43.65,87.75,603,93.28
802,30138,79.04,11.46,83.9,158,36.07
803,16104,83.24,16.33,97.26,80,89.26
804,34983,98.19,40.81,37.76,330,93.63
805,81697,81,26.78,63.12,800,94.69
806,14748,27.07,75.04,21.43,612,83.5
807,41077,82.09,64.12,97.22,453,81.95
808,97188,37.56,87.62,34.01,907,31.04
809,39378,51.62,80.96,92.38,776,94.41
810,83031,79.64,88.21,74.27,171,54.61
811,76737,31.67,39.22,94.95,834,32.88
812,28001,2.61,48.75,39.86,793,58.91
813,99087,71.81,39.81,47.61,369,81.3
814,3170,90.22,87.14,33.15,467,60.94
815,61938,92.79,42.22,53.79,861,83.06
816,15635,79.89,19.34,95.8,697,65.66
817,92239,93.51,30.04,65.69,802,50.96
818,51263,82.07,43.99,53.29,205,44.2
819,58560,3.01,58.24,45.99,169,59.48
820,46089,34.97,59.45,66.78,515,32.51
821,42141,33.61,70.7,77.86,822,59.58
822,77667,21.92,61.83,52.54,101,34.8
823,40432,79.79,49.32,38.47,689,91.39
824,81552,52.01,12.41,66.8,662,70.28
825,31953,83.63,65.6,49.25,270,75.22
826,47159,60.13,16.84,99.55,154,50.22
827,37524,59.06,47.5,55.28,248,45.81
828,86689,38.41,81.71,54.76,80,79.55
829,81945,78.96,57.75,87.16,915,77.01
830,26435,68.31,25.92,40.08,484,38.59
831,68109,33.88,74.64,25.28,708,46.7
832,28651,99.36,34.03,88.31,556,96.26
833,36638,46.28,56.18,67.12,928,51.29
834,68520,31.66,60.87,40.81,705,31.81
835,40170,68.78,68.49,47.42,665,34.46
836,40673,22.28,15.2,54.05,317,84.28
837,28481,83.06,78.34,74.43,676,83
838,3884,68.04,19.11,57.45,408,56.73
839,60916,87.01,17.56,51.67,711,40.72
840,82942,32.91,46.55,82.44,783,64.87
841,18577,85.44,39.77,25.75,112,53.23
842,70219,50.09,14.37,72.2,289,56.18
843,92901,5.92,23.28,55.91,764,48.27
844,81380,19.42,45.14,46.79,608,34.4
845,99401,21.76,76.33,94.21,142,85.38
846,96754,76.8,19.7,82.23,720,73.28
847,7995,20.31,18.36,37.54,95,88.42
848,92770,56.19,74.39,72.19,614,65.22
849,65731,65.25,49.39,85.78,190,98.95
850,84756,77.39,38.82,99.15,680,97.38
851,55869,78.39,46.91,75.87,44,49.02
852,65772,71.76,42.87,75.26,515,57.09
853,31327,21.32,72.55,69.06,619,82.69
854,24567,54.35,10.75,23.2,668,84.36
855,84134,29.02,44.65,66.8,43,93.75
856,94350,77.51,22.71,84.4,487,75.68
857,13588,74.81,34.66,51.63,732,63.26
858,11476,22.96,18.97,66.96,475,56.44
859,69212,64.13,44.16,94.12,394,59.34
860,32625,5.84,61.46,33.76,690,89.53
861,96327,76.85,62.93,42.44,131,98.6
862,90814,78.02,73.74,28.83,318,33.63
863,36166,34.7,75.2,60.02,217,70.62
864,28648,80.63,57.82,87.17,135,66.4
865,83684,85.83,38.25,54.82,514,56.33
866,72979,19.01,14.11,25.59,713,89.61
867,7350,35.09,12.87,41.08,945,70.3
868,48832,26.11,19.06,91.18,71,51.92
869,91849,37.44,88.71,64.6,64,61.09
870,31660,44.69,72.88,93.13,357,54.98
871,2054,51,42.39,86.76,383,60.11
872,57031,3.51,47.3,53.14,532,34.99
873,57896,5.52,68.99,70.68,249,37.83
874,61426,65.52,51.15,73.15,829,73.66
875,93771,44.27,38.83,79.74,233,77.88
876,66707,8.97,37.96,46.64,547,74.56
877,61948,38.62,26.77,43.12,851,83.42
878,95756,47.55,80.85,74.77,864,96.05
879,78548,63.56,43.13,85.5,57,90.24
880,43937,11.83,70.19,53.14,822,59.3
881,34719,99.48,55.9,45.69,496,45.23
882,87733,47.47,70.33,86.04,810,51.83
883,71273,68.08,35.67,74.96,969,71.14
884,56690,90.82,70.16,47.48,599,89.93
885,55695,3.18,73.2,62.37,530,79.12
886,27096,60.14,18.34,96.87,343,68.01
887,24022,54.04,17.32,79.99,749,72.13
888,43585,5.74,88.84,37.73,256,66.98
889,26251,69.3,19.44,43.6,114,98.01
890,93016,22.08,64.79,41.22,523,87.13
891,9974,70.19,69.83,87.87,518,84.69
892,1034,36.26,15.08,71.31,897,66.21
893,12540,77.01,69.72,95.2,468,53.23
894,41029,94.18,43.56,27.27,381,31.37
895,5166,86.05,31.97,24.16,791,33.04
896,37941,48.26,63.23,74.1,685,32.12
897,68198,22.53,76.65,41.33,44,98.63
898,37266,99.24,55.82,74.33,585,38.01
899,24385,65.95,79.65,77.88,627,39.95
900,36960,39.6,11.79,44.36,253,63.89
901,26915,48.15,69.09,96.21,418,63.7
902,41790,12.81,23.55,81.98,874,94.4
903,55315,50.53,32.89,49.39,530,35.15
904,60616,17.32,55.78,52.97,214,97.01
905,46538,36.57,31.96,77.27,564,45.15
906,50225,49.18,23.45,44.32,787,97.91
907,39414,94.78,80.84,43.63,706,67.89
908,40818,62.47,82.54,69.99,554,75.64
909,99327,37.19,12.91,30.78,502,52.1
910,96296,11.31,50.01,99.47,914,72.83
911,42631,74.72,26.29,42.98,575,79.76
912,44013,46.69,79.07,50.62,753,30.73
913,45639,6.82,47,37.94,278,32.4
914,42881,65.69,48.28,71.48,161,99.05
915,10923,35.01,60.2,24.84,71,62.03
916,2716,40.39,14.45,94.22,177,95.51
917,32804,83.89,20.18,44.32,393,81.09
918,72372,13.73,49.87,94.19,836,56.11
919,16073,34.04,87.34,40.28,321,40.56
920,87899,36.37,77.49,61.1,585,98.47
921,24594,0.33,81.15,75.61,69,70.91
922,75407,84.53,20.97,69.01,986,43.46
923,36863,83.53,86.69,61,288,77.72
924,21251,66.18,68.4,83.08,676,36.44
925,55508,89.89,36.05,57.64,629,90.76
926,10551,27.29,79.16,46.65,326,36.31
927,54653,22.06,69.78,77.49,309,46.53
928,1237,6.85,68.92,94.98,578,36.4
929,77020,59.2,68.77,68.11,52,37.27
930,19702,49.64,74.07,42.38,327,66.67
931,13586,81.04,85.88,81.02,931,78.09
932,84583,48.13,20.95,80.95,993,85.19
933,79284,20.32,89.96,41.35,980,78.65
934,85496,80.96,79.79,50.77,870,55.44
935,89336,45.55,45.33,31.28,121,69.01
936,29237,95.58,22.6,26.37,969,94.94
937,41986,53.45,46.3,84.59,974,57.13
938,33716,11.67,72.29,49.81,929,47.67
939,44680,85.1,58.2,42.5,978,66.35
940,14936,87.84,32.36,40.49,896,50.81
941,49594,44.54,42.54,25.98,516,48.33
942,24318,2.6,86.34,98.79,851,84.52
943,72909,2.97,74.31,49.36,916,92.36
944,72733,35.11,19.93,33.14,744,65.16
945,4661,71.62,53.63,89.13,716,84.58
946,10543,33.11,84.48,77.85,482,43.1
947,66155,0.77,12.74,73.01,702,68.34
948,15080,84.86,13.4,43.78,180,74.53
949,54136,96.87,67.34,53.24,369,64.35
950,13074,34.64,56.04,87.29,420,38.18
951,32291,7.31,13.68,71.19,266,81.39
952,85267,29.14,89.68,47.65,58,88.74
953,51442,79.9,56.41,28.74,569,74.47
954,50002,54.23,49.35,92.02,473,41.84
955,10894,38.4,45.82,96.44,748,35.22
956,93944,33.42,66.05,77.5,728,51.11
957,2750,11.54,46.67,75.31,235,32.59
958,21944,33.95,62.73,63.02,702,88.75
959,47464,47.01,49.07,97.72,532,79.21
960,23467,67.31,58.86,75.53,402,69.46
961,20121,26.21,74.41,26.14,838,92.27
962,88942,89.74,75.37,27.34,642,37.71
963,25123,48.48,77.92,97.09,97,80.01
964,92888,40.52,26.24,95.46,110,40.26
965,61640,59.4,14.89,64.63,108,34.26
966,55499,16.76,76.89,37.13,543,39.3
967,46545,10.66,13.38,66.68,625,96.57
968,96707,34.65,27.08,81.08,495,60.83
969,47396,3.99,52.1,20.66,80,33.43
970,15516,37.76,78.43,85.83,437,70.85
971,81417,67.15,81.74,57.18,295,43.98
972,16821,81.21,60.24,57.05,325,30.48
973,11876,57.98,87.34,54.74,486,83.09
974,18776,69.13,68.4,75.35,576,40.84
975,83317,83.31,52.22,36.76,136,95.97
976,35006,77.31,20.75,68.53,560,71.5
977,79892,32,44.3,23.53,434,36.09
978,26044,57.34,75.79,84.91,914,45.25
979,77230,26.49,32.69,85.24,906,72.76
980,61004,57.63,56.26,44.95,396,53.67
981,46201,42.6,88.67,28.43,974,67.25
982,35771,37.28,23.95,79.82,148,85.97
983,22944,18.36,18.12,57.62,141,85.48
984,87570,56.18,73.65,94,245,78.86
985,89166,72.93,11.99,48.28,170,92.02
986,10162,57.13,61.46,87.32,426,43.96
987,53151,6.92,36.86,22.03,566,42.41
988,77858,92.43,67.91,81.82,413,85.95
989,13752,0.55,19.62,74.26,174,52.46
990,27714,88.51,36.4,62.1,861,65.85
991,35829,76.61,11.36,92.83,235,82.08
992,16850,9.66,28.81,95.36,158,57.72
993,20487,23.66,48.66,94.37,323,39.11
994,50038,34.9,24.21,67.82,316,77.56
995,7261,91.03,57.97,61.55,848,87.2
996,24858,97.99,19.45,41.52,665,30.9
997,55101,8.72,69.62,32.97,745,69.38
998,90749,39.69,83.73,64.57,429,62.86
999,4251,14.93,40.87,31.88,187,48.17
1000,6344,27.84,52.26,33.77,340,41.27
1001,29653,98.11,49.08,48.54,513,43.16
1002,8991,98.44,72.83,34.94,697,80.75
1003,16915,47.21,89.54,60.14,550,67.53
1004,9233,18.31,68.85,73.1,307,98.68
1005,31016,54.7,27.16,75.83,619,47.03
1006,50198,32.07,65.69,62.62,196,96.98
1007,15259,92.88,59.26,61.74,960,66.06
1008,86560,81.82,26.81,57.98,897,40.22
1009,25455,30.88,29.28,39.62,851,40.37
1010,84335,1.83,62.22,72.34,460,72.6
1011,54706,99.8,74.63,72.56,927,88.2
1012,27261,68.33,70.99,40.46,745,82.34
1013,24610,42.57,58.51,76.05,629,75.89
1014,13195,28.85,85,88.64,93,42.05
1015,90796,0.44,68.48,67.58,901,37.58
1016,76293,15.4,53.35,29.4,267,30.02
1017,51372,0.59,75.3,46.18,657,37.13
1018,65953,59.76,33.24,27.42,123,83.65
1019,33438,66.33,31.08,44.16,818,92.67
1020,32320,76.68,87.72,36.96,649,46.82
1021,9091,18.7,85.99,64.37,98,85.64
1022,48513,9.6,80.44,53.88,660,43.92
1023,12284,65.05,27.15,77.81,545,47.45
1024,65212,49.99,57.02,49.04,931,45.69
1025,28728,87.57,52.8,32.38,556,33.62
1026,83760,53.33,26.25,38.88,654,43.58
1027,63486,44.48,45.82,63.66,920,56.15
1028,24966,48.8,47.21,55.99,627,58.38
1029,12313,78.23,29.25,23.41,791,51.66
1030,93187,1.83,86.39,36.8,430,66.03
1031,7120,91.82,49.42,43.74,795,56.46
1032,26424,71.42,51.99,78.03,981,97.93
1033,73958,88.53,57.89,78.43,972,86.51
1034,54506,95.96,80.96,75.84,625,95.17
1035,35357,22.6,52.66,85.48,183,69.02
1036,99037,57.83,53.28,89.91,746,77.48
1037,17439,48.6,29.22,25.69,589,41.67
1038,93096,53.76,58.23,59.44,511,82.7
1039,76182,4.73,40.49,31.92,578,46.52
1040,63243,91.4,61.74,48.32,561,40.21
1041,69311,95.47,34.06,73.06,483,32.93
1042,15578,68.51,67.26,68.13,222,63.06
1043,58646,25.83,59.51,30.28,182,50.08
1044,38214,78.72,47.96,80.57,409,99.07
1045,1345,73.08,17.73,82.96,633,47.49
1046,31178,57.46,60.16,31.13,839,90.66
1047,7153,17.02,78.74,69.25,288,52.15
1048,67355,20.12,23.69,95.62,225,82.44
1049,86537,58.94,16.78,27.52,722,76.19
1050,43170,12.88,13.17,33.17,519,69.32
1051,21987,72.39,12.55,81.24,604,59.18
1052,80368,21.26,77.37,46.95,228,76.98
1053,25317,91.05,68.21,96.45,113,58.51
1054,68926,89.97,26.18,69.95,60,68.37
1055,35893,29.36,83.37,58.66,778,71.29
1056,6013,8.34,20.83,47.01,86,48.71
1057,61342,61.14,39.93,39.13,438,53.78
1058,9144,44.84,46.17,72,13,31.26
1059,97262,14.37,16.07,67.36,320,89.65
1060,34897,53.15,37.8,48.63,98,82.92
1061,24020,99.27,18.15,93.42,659,42.85
1062,48012,6.9,73.18,80.94,480,55.34
1063,54369,26.39,13.75,40.81,771,59.47
1064,33826,53.86,11.37,95.47,372,53.41
1065,41338,79.34,68.6,80.44,39,85.88
1066,62811,1.88,72.47,91.77,919,80.78
1067,44175,73.28,49.65,30.9,745,83.7
1068,64579,13.99,35.43,22.64,167,93.29
1069,67104,83.07,28.92,59.43,526,71.66
1070,44214,69.22,19.36,55.85,502,73.02
1071,42720,45.65,48.74,89.58,280,80.54
1072,11462,82.16,49.29,33.77,410,77.69
1073,65606,73.3,46.48,21.89,57,90.89
1074,81508,75.92,72.26,62.34,362,83.91
1075,87022,29.01,17.98,34.21,725,38.43
1076,73846,61.94,63.6,23.96,290,94.99
1077,74032,14.11,42.13,21.78,509,77.82
1078,17333,82.09,29.28,31.39,284,38.9
1079,69675,52.67,64.53,50.07,68,84.04
1080,2413,82.49,25.81,90.72,190,55.09
1081,44257,21.12,28.47,80.85,480,86.42
1082,57576,13.03,89.88,62.41,688,96.88
1083,71364,68.9,81.09,54.43,904,47.87
1084,38677,5.84,65.77,56.46,782,90.02
1085,52197,24.4,35.26,90.77,433,84.15
1086,93866,90.87,52.94,77.97,222,76.98
1087,62339,13.28,20.13,33.76,963,56.94
1088,71363,37.56,36.72,95.18,109,37.69
1089,30618,94.56,15.44,81.83,471,63.87
1090,36729,2,58.83,22.73,911,37.4
1091,8033,44.53,78.6,60.18,28,65.01
1092,64571,78.65,74.76,72.22,845,87.42
1093,67495,90.9,78.49,24.88,545,99.83
1094,65323,73.56,23.97,48.24,99,43.86
1095,88902,88.84,62.01,71.86,499,44.55
1096,44678,3.44,86.54,85.29,668,86.76
1097,30911,9.99,72.66,98.17,324,62.83
1098,17340,73.77,10.27,29.73,326,94.11
1099,8668,75.33,80.58,70.59,41,83.83
1100,59728,60.53,66.46,91.42,883,81.55
1101,38798,73.03,19.76,77.35,566,37.14
1102,66680,85.81,35.11,70.59,428,32.51
1103,76557,54.55,19.4,37.15,447,52.17
1104,13201,94.73,68.38,85.22,753,45.21
1105,73300,69.42,10.28,65,139,79.86
1106,27286,47.2,47.16,28.91,746,61.55
1107,21822,42.15,89.98,94.85,979,66.62
1108,47016,75.02,78.09,99.07,822,86.96
1109,57015,63.05,56.98,63.01,682,63.5
1110,71783,81.74,65.51,82.12,800,68.14
1111,86676,78.1,58.29,66.67,747,88.96
1112,86770,52.42,74.87,53.78,627,60.19
1113,91705,94.57,80.88,52.73,941,35.82
1114,68797,70.43,71.33,97.15,999,66.52
1115,59886,20.08,24.56,49.5,590,70.56
1116,57879,61.85,39.8,59.24,990,65.83
1117,65316,20.18,72.75,39.88,217,48.06
1118,89293,55.88,75.85,40.26,208,45.66
1119,14801,78.99,60.3,48.5,658,55.88
1120,74536,81.25,67.13,93.98,253,41.64
1121,72053,65.08,23.96,51.72,898,76.62
1122,88378,78.33,39.81,64.18,370,73.03
1123,72883,47.22,52.77,63.66,97,74.27
1124,75016,55.07,88.7,66.65,570,45.74
1125,17174,87.96,73.94,85.6,35,47.26
1126,99233,49.31,25.41,92.1,233,85.12
1127,1097,35.09,38.19,36.7,500,78.31
1128,37795,79.7,27.35,88.84,292,91.26
1129,34825,5.05,22.18,63.82,520,58.25
1130,89209,95.84,19.6,93.96,178,68.31
1131,54252,34.01,87.26,93.29,348,81.71
1132,90475,62.96,82.53,51.15,977,98.19
1133,33940,68.55,48.66,72.15,399,99.27
1134,18462,13.71,53.88,89.71,220,99.94
1135,83852,82.29,77.09,50.78,116,92.34
1136,8732,57.21,61.91,23.51,864,74.78
1137,4979,32.79,68.61,48.78,843,30.49
1138,85353,85.07,73.29,49.23,326,78.97
1139,83734,62.51,48.64,84.54,844,46.7
1140,51467,78.58,87.98,44.77,331,34
1141,37546,99.23,60.27,91.52,214,78.8
1142,89327,13.03,60.68,63.89,233,82.92
1143,50715,74.96,21.28,66.89,52,76.16
1144,47178,75.77,89.02,84.56,930,55.56
1145,11988,87.47,15.66,30.77,628,65.77
1146,5904,40.81,88.85,21.44,71,95.45
1147,12925,86.97,82.85,24.53,22,81.07
1148,71629,63.99,78.51,22.45,487,65.33
1149,46043,6.88,63.89,75.99,92,71.54
1150,62515,3.15,58.71,39.6,801,94.94
1151,68712,48.15,89.73,88.59,383,57.56
1152,90512,78.58,87.92,90.63,874,37.13
1153,59477,38.42,74.95,48.49,964,52.81
1154,5765,85.18,16.95,35.59,598,59.06
1155,95605,49.21,39.77,59.9,104,49.11
1156,48012,2.63,79.27,85.26,687,67.03
1157,83528,97.37,66.2,74.79,529,51.34
1158,57426,48.96,19.76,22.06,835,37.22
1159,37129,65.01,37.86,20.57,679,43.16
1160,87548,19.93,11.55,29.1,540,94.27
1161,70990,29.73,81.42,46.94,295,74.07
1162,67148,48.43,69.76,62.95,576,52
1163,67148,85.62,44.87,85.41,183,55.68
1164,17233,10.2,70.83,31.42,175,64.54
1165,37230,78.03,84.67,32.2,282,77.12
1166,84343,57.94,32.39,89.09,363,70.75
1167,90479,49.97,32.87,93.92,985,95.29
1168,24212,87.66,48.61,64.1,903,73.8
1169,66078,11.81,66.55,82.79,452,93.76
1170,71913,99.08,89.44,47.41,558,30.38
1171,27381,85.46,23.03,95.7,832,92.34
1172,72010,32.57,37.37,92.39,381,80.5
1173,16018,45.16,39.08,87.97,911,42.05
1174,15991,2.5,68.07,21.04,459,48.41
1175,49186,52.76,80.93,61.86,846,68
1176,32844,54.77,24.7,22.13,51,38.75
1177,79392,92.66,67.09,74.2,264,84.98
1178,46569,38.79,82.77,34.68,988,85.38
1179,46773,57.06,19.7,71.16,74,51.07
1180,96249,74.06,60.8,27.84,482,34.89
1181,50938,60.85,26.19,80.53,345,99.22
1182,60326,15.62,45.29,78.12,999,47.55
1183,78853,17.18,20.14,20.37,615,34.73
1184,55658,13.83,64.69,83.36,19,53.1
1185,12060,21.77,42.11,33.1,945,97.83
1186,81896,32.83,55.38,28.74,701,85.5
1187,59960,73.97,51.88,60.02,801,63.62
1188,50700,6.09,65.52,67.21,964,51.37
1189,52267,82.04,81.65,28.25,30,59.63
1190,17396,26.25,32.38,44.38,189,31.22
1191,22997,61.34,57.61,52.62,368,80.29
1192,82602,55.28,55.9,95.49,88,36.98
1193,82294,15.4,35.21,40.11,142,66.33
1194,35369,28.73,49.97,40.84,685,69.61
1195,82579,29.59,13.24,72.75,636,30.12
1196,96715,62.38,44.15,78.17,799,98.59
1197,44917,78.85,31.64,20.87,401,51.15
1198,6068,99.63,79.12,30.72,573,35.41
1199,43771,9.59,38.62,48.62,394,89.81
1200,19552,93.87,25.38,70.56,93,40.64
1201,44513,56.15,52.37,30.73,805,31.75
1202,19999,35.68,74.88,48.56,296,64.63
